state,state_full,number
AK,Arkansas,1
AL,Alabama,13
AR,Arizona,6
AZ,Arizona,33
CA,California,380
CO,Colorado,6
CT,Connecticut,9
DC,District of Columbia,8
DE,Delaware,4
FL,Florida,40
GA,Georgia,12
HI,Hawaii,57
IA,Iowa,5
ID,Idaho,1
IL,Illinois,68
IN,Indiana,72
KS,Kansas,27
KY,Kentucky,4
LA,Lousiana,1
MA,Massachusetts,66
MD,Maryland,14
ME,Maine,0
MI,Michigan,25
MN,Minnesota,44
MO,Missouri,48
MS,Mississippi,0
MT,Montana,0
NC,North Carolina,31
ND,North Dakota,1
NE,Nebraska,4
NH,New Hampshire,4
NJ,New Jersey,40
NM,New Mexico,9
NV,Nevada,12
NY,New York,250
OH,Ohio,396
OK,Oklahoma,1
OR,Oregon,28
PA,Pennsylvania,59
RI,Rhode Island,2
SC,South Carolina,0
SD,South Dakota,10
TN,Tennessee,9
TX,Texas,57
UT,Utah,18
VA,Virginia,17
VT,Vermont,2
WA,Washington,102
WI,Wisconsin,14
WV,West Virginia,1
WY,Wyoming,1
